"Department","Semester","Course Code","Course Name","L","T","P","S","C","Faculty","Enrolled_students","class_connector"
"CSE","2A","CS162","Optimization","3","1","0","0","2","Dr. Dibyajyothi","70",""
"CSE","2A","CS164","Data Structures & Algorithms","3","0","2","0","4","Prof. CB Akki","70",""
"CSE","2A","CS163","Computer Architecture","3","1","0","0","2","Dr. Prabhu Prasad","70",""
"CSE","2A","CS165","Mathematical foundations of Computing","2","0","2","0","3","Dr. Animesh Roy","70",""
"CSE","2A","HS204 / HS153","Economics (HSS / I&E)","3","0","0","0","3","Dr. Anusree Kini","70",""
"CSE","2A","B1","Introduction to Design","3","1","0","0","2","Dr. Sandesh P","25","1"
"CSE","2A","B1","Introduction to Personal Finance","3","1","0","0","2","Dr. Siddharth","25","2"
"CSE","2A","B1","Introduction to Internet of Things","3","1","0","0","2","Dr Jagadeesha Bhat","25","3"
"CSE","2A","B2","Concurrency and Computation","3","1","0","0","2","Dr Pramod Y","25","4"
"CSE","2A","B2","Computer Intensive Statistical Methods","3","1","0","0","2","Dr Ramesh Athe","25","5"
"CSE","2A","B2","Industry Insights Program Part 1","3","1","0","0","2","Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan","25","6"
"CSE","2B","CS162","Optimization","3","1","0","0","2","Dr. Dibyajyothi","70",""
"CSE","2B","CS164","Data Structures & Algorithms","3","0","2","0","4","Dr. Suvadip Hazra","70",""
"CSE","2B","CS163","Computer Architecture","3","1","0","0","2","Prof. CB Akki","70",""
"CSE","2B","CS165","Mathematical foundations of Computing","2","0","2","0","3","Dr. Animesh Roy","70",""
"CSE","2B","HS204 / HS153","Economics (HSS / I&E)","3","0","0","0","3","Dr. Anusree Kini","70",""
"CSE","2B","B1","Introduction to Design","3","1","0","0","2","Dr. Sandesh P","25","1"
"CSE","2B","B1","Introduction to Personal Finance","3","1","0","0","2","Dr. Siddharth","25","2"
"CSE","2B","B1","Introduction to Internet of Things","3","1","0","0","2","Dr Jagadeesha Bhat","25","3"
"CSE","2B","B2","Concurrency and Computation","3","1","0","0","2","Dr Pramod Y","25","4"
"CSE","2B","B2","Computer Intensive Statistical Methods","3","1","0","0","2","Dr Ramesh Athe","25","5"
"CSE","2B","B2","Industry Insights Program Part 1","3","1","0","0","2","Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan","25","6"
"CSE","4A","MA202","Linear Algebra","3","1","0","0","4","Dr. Anand Barangi","70",""
"CSE","4A","CS206","Theory of Computing","3","1","0","0","4","Dr. Pavan","70",""
"CSE","4A","CS204","Operating Systems","3","1","0","0","4","Dr. Suvadeep","70",""
"CSE","4A","CS301","Software Engineering","3","1","0","0","4","Dr. Vivekraj","70",""
"CSE","4A","CS310","Database Management Systems","3","1","2","0","5","Dr. Pramod","70",""
"CSE","4A","HS205","Ethics","3","0","0","0","3","Dr. Jolly Thomas","70","7"
"CSE","4B","MA202","Linear Algebra","3","1","0","0","4","Dr. Anand Barangi","70",""
"CSE","4B","CS206","Theory of Computing","3","1","0","0","4","Dr. Sunil CK","70",""
"CSE","4B","CS204","Operating Systems","3","1","0","0","4","Dr. Malay & Dr. Dibyajyothi","70",""
"CSE","4B","CS301","Software Engineering","3","1","0","0","4","Dr. Sunil Kumar PV","70",""
"CSE","4B","CS310","Database Management Systems","3","1","2","0","5","Dr. Abdul","70",""
"CSE","4B","HS205","Ethics","3","0","0","0","3","Dr. Jolly Thomas","70","7"
"CSE","6A","CS307","Machine Learning","3","0","2","0","4","Dr. Girish GN","70",""
"CSE","6A","B1","Deep Learning for Computer Vision","3","1","0","0","4","Chinmayanand","25","8"
"CSE","6A","B1","Large Languange Models","3","1","0","0","4","Dr. Sunil S","25","9"
"CSE","6A","B1","Natural Language Processing","3","1","0","0","4","Dr. Krishnendu","25","10"
"CSE","6A","B1","Deep Speech Processing","3","1","0","0","4","Dr. Pankaj Kumar and Dr. Rajesh Kumar","25","11"
"CSE","6A","B1","CMOS RF Circuit Design","3","1","0","0","4","Prof. SRM Prasanna","25","12"
"CSE","6A","B2","Blockchain Technology","3","1","0","0","4","Dr. Rajendra H","25","13"
"CSE","6A","B2","Introduction to 5G Network","3","1","0","0","4","Dr. Jagadeesha R Bhat","25","14"
"CSE","6A","B2","Model Checking","3","1","0","0","4","Dr. Pavan","25","15"
"CSE","6A","B2","Quantum Communication","3","1","0","0","4","Dr. Aswath B","25","16"
"CSE","6A","B2","Quantum HPC and AI","3","1","0","0","4","Dr. Manish M (Dr. Aswath)","25","17"
"CSE","6A","B2","Design Thinking and Innovation","3","1","0","0","4","Dr. Sandesh P","25","18"
"CSE","6A","B3","Automotive Embedded and Multimedia Systems","3","1","0","0","4","Mr. Jagadeesh K (Dr Sibasankar Padhy)","25","19"
"CSE","6A","B3","Microwave Engineering","3","1","0","0","4","Dr. Somen","25","20"
"CSE","6A","B3","Computer Graphics","3","1","0","0","4","Dr. Vivekraj V K","25","21"
"CSE","6A","B3","Machine learning","3","1","0","0","4","Dr. Deepak KT","25","22"
"CSE","6A","B3","Virtualization and Cloud Computing","3","1","0","0","4","Dr Malay","25","23"
"CSE","6A","B4","Data Analytics and Visualization","3","1","0","0","4","Dr. Sunil CK","25","24"
"CSE","6A","B4","Statistics for Health Technology","3","1","0","0","4","Dr. Ramesh Athe","25","25"
"CSE","6A","B4","Medical Image Analysis","3","1","0","0","4","Dr. Girish GN","25","26"
"CSE","6A","B4","Bioinformatics","3","1","0","0","4","Dr. Sunil Kumar PV","25","27"
"CSE","6A","Mini Project 1","Mini Project 1","0","0","0","8","2","Pramod Yelmewad and Animesh Roy","70",""
"CSE","6B","CS307","Machine Learning","3","0","2","0","4","Dr. Krishnendu","75",""
"CSE","6B","B1","Deep Learning for Computer Vision","3","1","0","0","4","Chinmayanand","25","8"
"CSE","6B","B1","Large Languange Models","3","1","0","0","4","Dr. Sunil S","25","9"
"CSE","6B","B1","Natural Language Processing","3","1","0","0","4","Dr. Krishnendu","25","10"
"CSE","6B","B1","Deep Speech Processing","3","1","0","0","4","Dr. Pankaj Kumar and Dr. Rajesh Kumar","25","11"
"CSE","6B","B1","CMOS RF Circuit Design","3","1","0","0","4","Prof. SRM Prasanna","25","12"
"CSE","6B","B2","Blockchain Technology","3","1","0","0","4","Dr. Rajendra H","25","13"
"CSE","6B","B2","Introduction to 5G Network","3","1","0","0","4","Dr. Jagadeesha R Bhat","25","14"
"CSE","6B","B2","Model Checking","3","1","0","0","4","Dr. Pavan","25","15"
"CSE","6B","B2","Quantum Communication","3","1","0","0","4","Dr. Aswath B","25","16"
"CSE","6B","B2","Quantum HPC and AI","3","1","0","0","4","Dr. Manish M (Dr. Aswath)","25","17"
"CSE","6B","B2","Design Thinking and Innovation","3","1","0","0","4","Dr. Sandesh P","25","18"
"CSE","6B","B3","Automotive Embedded and Multimedia Systems","3","1","0","0","4","Mr. Jagadeesh K (Dr Sibasankar Padhy)","25","19"
"CSE","6B","B3","Microwave Engineering","3","1","0","0","4","Dr. Somen","25","20"
"CSE","6B","B3","Computer Graphics","3","1","0","0","4","Dr. Vivekraj V K","25","21"
"CSE","6B","B3","Machine learning","3","1","0","0","4","Dr. Deepak KT","25","22"
